Product Code,Product Label,"UAE export to mexico Value in 2022, USD thousands","Mexico Share in United Arab Emirates's exports, %",Equivalent ad valorem tariff faced by United Arab Emirates,UAE to mexico Quantity exported in 2022 ,Quantity unit ,Unit value (USD/unit) ,Number of non-tariff requirements faced by United Arab Emirates ,"mexico import from world Value in 2022, USD thousand ","Annual growthmexico import from world in value between 2018-2022, %, p.a. ","Share in world imports mexico to world, % ",Quantity exported from mexico to world in 2022 ,Quantity unit ,Unit value (USD/unit) ,"UAE Export to world Value in 2022, USD thousand ","Annual growth in value between 2018-2022, %, p.a. ","Share in world exports, % ",Quantity exported from uae to world in 2022 ,Quantity unit ,Unit value (USD/unit) ,"Estimation of untapped potential trade, USD thousand"
30551,"Dried cod ""Gadus morhua, Gadus ogac, Gadus macrocephalus"", even salted, not smoked (excl. fillets . . .", , ,15, , , ,34,"1,283",-50,0,148,Tons,"8,669",1,124,0,0,Tons, ,
30552,"Dried tilapia ""Oreochromis spp."", catfish ""Pangasius spp., Silurus spp., Clarias spp., Ictalurus . . .", , , , , , ,,0, ,0, , , ,239,-11,4, , , ,
30553,"Dried fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, . . .", , , , , , ,,0, ,0, , , ,5,91,0,0, , ,
30554,"Dried herrings ""Clupea harengus, Clupea pallasii"", anchovies ""Engraulis spp."", sardines ""Sardina . . .", , , , , , ,,0, ,0, , , ,"22,518",5,21,7, ,"9,286",
30559,"Fish, dried, even salted but not smoked, n.e.s. (excl. fillets and offal)", , , , , , ,,0, ,0, , , ,256,-47,0,0, , ,
30569,"Fish, salted or in brine only (excl. fillets, offal, herring, cod, anchovies, tilapia, catfish, . . .", , , , , , ,,0, ,0, , , ,3,-23,0,89, ,"2,045",
30571,"Shark fins, smoked, dried, salted or in brine", , ,15, , , ,19,0, ,0, ,Tons, ,562,-38,0, ,Tons, ,
30572,"Fish heads, tails and maws, smoked, dried, salted or in brine", , , , , , ,,0, ,0, , , ,"1,581",-34,0,1, ,"200,000",
30579,"Fish fins and other edible fish offal, smoked, dried, salted or in brine (excl. heads, tails, . . .", , ,15, , , ,19,0, ,0, ,Tons, ,201,-27,0, ,Tons, ,
30611,"Frozen rock lobster and other sea crawfish ""Palinurus spp."", ""Panulirus spp."" and ""Jasus spp."", . . .", , ,15, , , ,29,747,43,0,21,Tons,"35,571","15,837",27,2,100,Tons,"17,270",-
30612,"Frozen lobsters ""Homarus spp."", even smoked, whether in shell or not, incl. lobsters in shell, . . .", , , , , , ,,0, ,0, , , ,"8,819",18,1,152, ,"26,776",-
30614,"Frozen crabs, even smoked, whether in shell or not, incl. crabs in shell, cooked by steaming . . .", , ,15, , , ,29,0, ,0, ,Tons, ,356,-14,0,464,Tons,"14,412",-
